Month,C++,C#,TypeScript,PHP,Swift,Ruby,Go,SQL,Kotlin,Scala,Shell,C,HTML,Objective-C,Perl,Matlab,R,Python,Java,Javascript
2008-09-01,755,1639,0,474,0,286,0,503,0,6,65,320,328,50,130,11,6,537,634,1129
2008-11-01,734,1729,0,499,0,157,0,413,0,5,51,258,327,106,97,11,1,448,580,954
2008-12-01,630,1594,0,476,0,159,0,424,0,3,51,188,309,123,133,13,1,437,625,825
2009-01-01,848,2374,0,628,1,205,0,585,0,12,47,318,414,143,146,19,8,631,790,1147
2009-02-01,841,2597,0,757,1,286,0,668,0,12,75,331,480,209,163,27,8,630,945,1202
2009-03-01,1046,3155,0,895,1,329,0,658,0,17,85,430,524,291,137,23,4,764,1007,1429
2009-04-01,1016,3303,0,957,0,358,0,750,0,27,72,455,524,357,161,32,12,770,1047,1529
2009-05-01,1214,3549,0,1170,2,401,0,844,0,12,85,481,675,500,196,42,2,995,1429,1813
2009-06-01,1250,3880,1,1571,0,431,0,925,0,63,76,498,760,490,246,43,5,1042,1552,2110
2009-07-01,1465,4402,0,2014,0,499,0,1085,0,59,106,538,982,678,256,39,50,1157,1752,2253
2009-08-01,1398,4445,0,2173,3,484,0,1033,0,72,96,530,1000,698,248,34,47,1131,1856,2185
2009-09-01,1460,4346,0,2250,3,477,0,1353,0,63,122,572,936,693,249,51,138,1169,1756,2258
2009-10-01,1683,4722,0,2346,1,492,0,1479,0,100,134,775,1000,748,282,70,73,1417,2046,2498
2009-11-01,1745,4676,0,2672,3,654,65,1217,0,95,136,956,1126,758,322,116,94,1552,2234,2759
2009-12-01,1651,4482,0,2808,1,572,11,1189,0,84,101,848,1153,782,261,101,80,1585,2305,2684
2010-01-01,1994,5111,0,3418,0,684,15,1255,0,105,117,977,1440,991,301,92,94,1946,2626,3722
2010-02-01,2275,5094,0,3153,2,688,7,1288,0,115,123,1033,1335,1008,347,111,122,1861,2638,3576
2010-03-01,2431,6025,0,3730,1,693,8,1463,0,116,168,1113,1508,1129,390,122,139,2072,2988,4438
2010-04-01,2487,5773,0,3629,2,752,10,1322,0,163,141,1181,1558,1155,364,184,160,1806,3012,3877
2010-05-01,2414,5924,0,3967,1,775,17,1450,0,167,139,1177,1613,1306,286,206,139,2008,3232,4166
2010-06-01,2823,6139,0,4069,3,850,15,1624,0,173,200,1153,1808,1433,409,146,176,2202,3478,4276
2010-07-01,2675,6675,0,4578,1,910,8,1827,0,185,185,1284,2157,1931,435,151,233,2583,3878,4506
2010-08-01,2627,6956,0,5108,2,994,13,1913,0,170,204,1363,2222,1870,546,140,283,2491,3999,4698
2010-09-01,2726,6408,0,4677,2,935,9,1742,0,225,228,1371,2096,1652,460,163,236,2248,4001,4705
2010-10-01,2929,6727,0,4490,1,925,13,1849,2,219,211,1438,2071,1736,498,161,214,2670,4106,5016
2010-11-01,3365,7308,0,5088,1,927,16,1972,1,211,206,1674,2398,1829,464,156,241,2603,4542,5588
2010-12-01,3128,7096,0,5368,2,1021,18,1896,1,225,201,1466,2581,1830,501,179,223,2472,4955,5667
2011-01-01,3482,7976,0,6393,4,1201,15,2342,0,250,254,1458,3044,2176,477,177,249,2896,5416,6528
2011-02-01,3434,8205,0,6678,5,1247,16,2119,0,273,234,1633,2987,2428,481,287,322,3007,5590,6853
2011-03-01,4166,9966,0,8054,3,1636,3,2648,1,298,313,2108,3916,3040,604,429,422,3741,6756,8449
2011-04-01,4159,9253,0,7601,3,1475,7,2289,2,270,301,2032,3591,3218,550,380,474,3330,6871,7880
2011-05-01,3863,9964,0,8050,1,1563,36,2693,1,325,269,1820,3853,3487,581,302,425,3510,7288,8525
2011-06-01,3797,9715,0,7988,4,1554,34,2651,2,331,259,1761,3990,3335,567,309,442,3460,7655,7860
2011-07-01,3845,9557,0,8604,12,1577,26,2652,0,424,270,1655,4311,3677,658,282,453,3649,8076,8122
2011-08-01,3943,10000,0,8839,8,1847,40,2665,2,434,311,1823,4489,3822,611,255,586,3814,8862,8630
2011-09-01,3923,9238,1,7987,6,1541,26,2578,0,418,291,1915,4190,3266,500,265,612,3507,8136,8280
2011-10-01,4334,9154,0,7974,6,1601,40,2582,2,465,340,2138,4173,3247,555,397,619,3600,7972,8499
2011-11-01,4450,9837,0,8604,4,1732,65,2821,1,453,335,2193,4478,3541,604,429,605,3854,8606,9564
2011-12-01,4331,9248,0,8261,2,1668,52,2581,2,373,363,2001,4345,3293,538,386,613,3603,8272,9118
2012-01-01,4518,10321,0,9184,6,1885,37,2793,0,358,396,2217,5056,3737,561,452,690,4179,9533,10053
2012-02-01,5075,10675,0,9798,9,2029,31,3136,3,386,449,2393,5381,3824,613,553,811,4471,9898,10868
2012-03-01,5190,11483,0,10762,4,2173,47,3586,2,458,448,2706,5652,3807,607,570,888,5006,10613,12269
2012-04-01,5269,11023,0,10283,5,1955,69,3306,2,404,397,2658,5607,3873,598,614,838,4893,10587,11923
2012-05-01,4963,11485,0,10825,6,1962,69,3491,2,420,458,2473,6158,3842,642,537,873,5067,11450,12099
2012-06-01,4631,11288,0,10502,4,1885,72,3295,0,445,449,2304,6006,3785,739,513,973,5259,11195,11069
2012-07-01,5261,12294,0,11678,9,2058,76,3718,2,487,565,2366,6877,4300,666,554,1117,5718,12299,12224
2012-08-01,5158,11932,0,11844,5,2057,72,3689,0,461,504,2313,6895,4207,761,596,1088,5855,12421,12232
2012-09-01,4901,11256,0,10933,7,1953,129,3615,1,533,459,2527,6387,3387,662,550,1057,5247,11154,11600
2012-10-01,5898,12703,277,11707,4,2255,101,4104,3,535,593,3150,6792,4110,682,752,1267,6123,12398,13458
2012-11-01,6262,12222,143,11701,4,2127,104,4301,2,551,579,3184,6863,3844,636,838,1345,6388,12318,13578
2012-12-01,5679,10943,81,10983,4,1902,112,3872,2,478,549,2560,6859,3715,551,672,1213,5741,11729,12399
2013-01-01,6030,12742,96,12801,5,2303,101,4643,1,573,629,2901,7870,4063,660,722,1506,6560,13759,13677
2013-02-01,6049,12471,70,12463,6,2209,117,4544,4,589,655,3085,7593,3888,745,806,1656,6723,13605,13657
2013-03-01,7169,14219,115,14018,5,2557,126,5205,1,667,658,3427,8884,4401,850,988,1846,7600,15251,15867
2013-04-01,7102,13860,94,13312,6,2457,125,5024,3,687,688,3521,8889,4051,837,1044,1834,7910,15275,16173
2013-05-01,6811,13428,76,12990,2,2337,142,4962,2,658,677,3186,8634,3808,901,1010,1777,7789,15010,15222
2013-06-01,6177,12750,94,12622,4,2219,175,4719,2,689,656,2928,8515,3359,828,893,1773,7579,14563,13874
2013-07-01,6572,14131,107,14225,7,2435,200,5384,2,698,673,3003,9788,3744,952,985,1963,8594,16760,15134
2013-08-01,6238,13814,107,14210,4,2477,207,5347,1,691,719,3002,9841,3544,833,913,1915,7933,16796,15010
2013-09-01,6534,13726,86,14161,9,2386,237,5882,0,774,751,3384,10252,3938,684,889,1709,7947,17646,16210
2013-10-01,7952,15154,82,15235,10,2787,211,6787,3,841,843,4230,11094,4452,814,1103,2086,9462,19660,18658
2013-11-01,8101,14542,90,14781,5,2572,209,6524,1,847,866,4276,10496,4014,821,1196,2185,9464,18423,18686
2013-12-01,6987,13587,122,14336,11,2441,240,6191,5,816,822,3494,10438,3980,764,1051,1905,8432,17958,17399
2014-01-01,7672,15296,147,16686,6,2756,300,6988,1,770,929,3724,12500,4394,809,1101,2345,9818,21064,18613
2014-02-01,7651,15078,119,16426,12,2596,204,6897,2,829,920,3966,12152,4571,790,1230,2617,9876,21085,19176
2014-03-01,8649,16117,118,18203,5,2945,255,7696,2,929,951,4548,13212,5001,907,1417,2798,11397,22564,21889
2014-04-01,8106,15245,139,17521,4,2741,341,7756,4,923,881,3997,12423,4636,820,1404,2729,10716,21331,20765
2014-05-01,6763,13834,138,14634,9,2671,278,6707,6,851,741,3249,11315,4145,794,1244,2576,9210,19681,17872
2014-06-01,5641,12433,104,12896,2386,2329,288,6293,3,943,719,2762,10074,3731,675,1022,2396,8884,18210,15838
2014-07-01,6255,13631,160,14183,1632,2551,450,6802,3,895,807,2821,11081,4164,732,1103,2631,9890,20041,17297
2014-08-01,5863,12452,122,13116,1689,2458,405,6172,4,857,747,2669,10281,3686,683,919,2468,9093,18373,15682
2014-09-01,6166,12291,115,13283,1895,2267,392,6303,14,854,815,3223,10095,3728,679,1069,2357,8754,18050,16626
2014-10-01,6819,12521,142,13512,2459,2339,380,5393,19,848,730,3795,10217,3674,639,1226,2765,9554,18842,17832
2014-11-01,6538,11837,107,12947,2551,2107,336,4246,9,904,741,3654,10004,3256,656,1221,2700,9549,17915,17777
2014-12-01,6065,11053,121,12273,2481,2143,349,4163,14,858,678,3148,9102,3023,565,993,2356,9018,16923,16316
2015-01-01,6119,11714,140,13541,3045,2421,468,4432,16,895,740,3204,10142,2979,589,1008,2681,9663,18483,16502
2015-02-01,6463,11771,128,13449,3230,2257,381,4361,33,883,795,3361,10111,3158,564,1186,2964,10184,18610,16713
2015-03-01,7378,13243,156,14831,3587,2457,468,4960,24,1011,878,3914,11350,3270,638,1376,3558,11574,20470,19710
2015-04-01,7132,13061,174,14896,4007,2499,388,4873,31,1028,892,3946,11253,3370,575,1516,3321,11411,20869,19754
2015-05-01,6807,13346,247,14521,3790,2503,396,4673,19,1052,777,3516,11534,3129,527,1387,3420,11199,22106,18512
2015-06-01,6515,13528,261,14330,4320,2577,421,4739,31,1185,877,3165,11669,3121,570,1218,3430,11793,22607,17841
2015-07-01,6698,14105,289,15340,5143,2584,466,4860,29,1188,828,2811,11978,3314,578,1121,3981,12306,23955,18675
2015-08-01,5868,13223,298,14211,5080,2313,448,4480,21,1144,712,2571,11262,2981,552,1017,3493,11214,22150,17076
2015-09-01,5906,12912,300,13477,4545,2157,420,4312,18,1193,690,3081,10898,2875,465,934,3329,10956,21389,16930
2015-10-01,7047,12790,336,13874,4292,2193,426,4436,58,1100,863,3676,10998,2830,497,1057,3679,12463,21808,18533
2015-11-01,7080,12370,407,13282,4317,1956,433,4372,81,1081,755,3609,10541,2340,463,1117,3538,12277,21256,17757
2015-12-01,6555,12132,503,13691,4370,2028,418,4236,71,1102,769,3086,10471,2255,477,872,3178,11633,21064,16537
2016-01-01,6093,12352,622,14530,4778,2143,494,4470,88,1034,749,3041,10778,2361,445,929,3534,12336,22494,16607
2016-02-01,6548,12720,746,14868,4747,2248,541,4662,127,1142,837,3274,11015,2329,500,1067,3587,13229,22458,17833
2016-03-01,7012,13598,839,15083,5071,2256,593,5100,133,1301,892,3442,11526,2278,467,1233,4041,14050,24077,19884
2016-04-01,6883,13706,944,14430,4744,2214,602,4956,102,1261,872,3349,11256,2220,492,1109,4125,13630,23435,19460
2016-05-01,6123,13483,1066,14396,4407,2131,579,4854,102,1196,827,2720,11145,1996,486,1129,3796,13089,22975,17001
2016-06-01,5710,13043,1107,13570,4789,2107,548,4960,103,1211,821,2298,10617,2077,435,983,3860,12896,22130,15894
2016-07-01,5461,11989,1284,12872,4929,1899,536,4372,83,1186,802,2345,10609,1870,413,889,3745,12804,22192,14921
2016-08-01,5012,12710,1368,12844,4897,1875,571,4453,87,1293,881,2212,10944,1808,460,934,3782,12894,22646,15164
2016-09-01,5134,11095,1351,12100,4850,1923,511,4327,109,1272,720,2509,9780,1675,462,844,3300,12327,20428,14649
2016-10-01,5962,11441,1498,12232,4725,1820,532,4595,109,1282,760,3205,9840,1626,402,889,3786,13486,20427,15307
2016-11-01,6066,11644,1408,11903,4360,1756,476,4720,137,1339,756,3259,9874,1560,370,775,3558,14160,20492,15634
2016-12-01,5220,10676,1403,11443,3925,1627,496,4162,108,1178,691,2792,9479,1496,336,728,3149,13023,19777,13827
2017-01-01,5642,11683,1554,12569,4329,1821,559,4390,144,1172,670,2754,10202,1462,325,786,3486,14244,21373,14539
2017-02-01,5162,11471,1553,12443,4048,1623,553,4427,121,1099,726,2725,10424,1336,398,844,3673,14754,21165,14538
2017-03-01,6214,12973,1840,13992,4607,1790,651,5337,182,1300,908,2963,11548,1443,409,1073,4600,17108,23675,17284
2017-04-01,5867,11079,1740,12356,3907,1488,507,4711,147,1130,850,2849,10216,1141,369,944,4262,15622,21212,15910
2017-05-01,5292,11965,1915,12991,4089,1520,583,5150,386,1171,828,2742,10570,1182,355,990,4313,16156,22370,16316
2017-06-01,4674,11289,1872,11695,4192,1415,572,4828,556,1169,838,2347,10076,1222,312,796,4445,15983,21551,14595
2017-07-01,5010,11192,1951,11710,4344,1521,655,4807,519,1247,741,2040,10048,1104,324,729,4577,16884,21582,14099
2017-08-01,4786,10939,2080,11589,4172,1392,607,4595,574,1175,722,2037,9898,983,356,716,4566,16460,21314,13739
2017-09-01,4462,9860,1877,10644,3756,1222,544,4216,496,1118,666,2098,8534,886,297,576,4220,15431,18965,12731
2017-10-01,5211,10215,1866,10782,3893,1298,614,4606,593,1075,728,2772,8924,857,333,693,4542,16921,19832,13979
2017-11-01,5031,9774,1999,10554,3662,1174,655,4596,706,1095,738,2948,8871,810,265,746,4501,16939,19383,14153
2017-12-01,4452,8584,1742,9085,3196,1018,524,3745,587,870,623,2191,7559,638,237,496,3713,14904,16942,11963
2018-01-01,4746,9359,1960,10068,3736,1160,542,4240,653,1039,709,2212,8153,662,245,574,4198,16212,18877,12324
2018-02-01,4566,8568,1971,9086,3399,1031,581,4122,642,987,636,2141,7468,588,231,533,4499,16283,17200,12014
2018-03-01,5172,9776,2232,9785,4042,1061,603,4765,800,1159,698,2460,8280,597,288,561,5103,17879,19128,13539
2018-04-01,4658,9228,2101,8902,3565,985,619,4750,775,1133,650,2182,7736,555,253,602,4728,16949,17940,13463
2018-05-01,4680,9912,2124,9407,3612,1035,630,4804,821,1104,649,2365,7812,582,242,526,4731,17546,18047,13440
2018-06-01,4086,8778,2105,8395,3136,989,674,4457,779,955,613,1831,7242,481,238,455,4482,16778,17167,11768
2018-07-01,3906,9389,2194,8524,3665,940,691,4601,891,929,572,1597,7691,508,246,459,4405,17918,17798,11727
2018-08-01,3900,9473,2329,8444,3562,878,704,4467,934,845,605,1676,7289,470,227,402,4100,17720,17839,11286
2018-09-01,3734,8348,2159,7624,3134,777,671,3834,856,835,532,1830,6573,412,205,428,3749,16001,15985,10698
2018-10-01,4297,9325,2378,8124,3263,897,790,4437,1054,879,615,2444,7200,414,277,514,4353,18123,17388,12474
2018-11-01,4334,8457,2077,7043,2974,833,717,4180,989,804,569,2516,6343,338,235,494,4223,17988,16154,11675
2018-12-01,3550,7533,1967,6180,2777,806,656,3594,876,759,476,2188,5953,272,220,418,3397,15704,14250,10420
2019-01-01,3901,8728,2338,7140,2899,916,657,4068,1053,775,542,2275,6613,322,264,402,3941,16920,16002,10997
2019-02-01,3724,8333,2402,7232,2674,786,628,4235,991,729,495,2051,6382,291,250,352,4243,17498,15665,10966
2019-03-01,4419,8942,2445,7744,2941,843,721,4623,1087,815,584,2374,7305,303,231,448,4486,19863,17300,12009
2019-04-01,4368,9091,2453,7123,3066,767,650,4251,1045,842,533,2426,6668,315,205,486,4593,19799,16136,11136
2019-05-01,4118,9001,2448,6907,3096,760,673,4122,1071,806,540,2087,6527,275,221,453,4293,18874,16111,11056
2019-06-01,3635,7588,2347,5976,3083,703,526,3577,1115,765,503,1724,5936,256,235,357,3941,17190,14775,9609
2019-07-01,4260,8425,2526,6628,3030,758,625,4153,1279,844,565,1748,6745,243,236,379,4196,19721,16116,10805
2019-08-01,3282,7692,2286,5775,2532,779,630,3608,1135,697,484,1547,5878,211,192,317,3948,17995,15182,9061
2019-09-01,3772,7829,2328,5530,2549,715,616,3941,1206,709,500,2000,5787,249,199,299,3933,16846,14840,9641
2019-10-01,4828,8397,2457,6014,3095,848,633,4411,1241,701,545,2475,6284,319,208,431,4378,20405,15946,11176
2019-11-01,4718,8005,2605,6057,2866,684,603,4414,1273,665,557,2504,6256,276,219,398,4280,20547,15731,10289
2019-12-01,4188,7189,2402,5196,2654,667,614,3943,1140,589,476,2139,5805,247,157,287,3737,18066,14286,8994
2020-01-01,4218,7781,2508,5871,2892,761,647,4194,1367,649,553,2049,6345,267,165,322,4142,19923,15984,9918
2020-02-01,4070,7699,2564,5633,2756,653,661,4342,1276,694,547,1976,6133,250,178,330,4669,19990,15718,10012
2020-03-01,4634,7775,2700,5639,2906,711,652,4503,1433,709,592,2475,6867,237,196,300,5117,22607,17535,11031
2020-04-01,6200,8563,3245,6591,3440,766,795,4929,1584,844,622,3248,7992,287,220,429,6166,27570,20856,12574
2020-05-01,6385,8576,3295,6485,3510,695,751,4861,1624,869,555,3361,8544,270,214,366,6006,29378,21446,11995
2020-06-01,5612,7885,3036,5900,3151,613,706,4596,1486,780,504,2582,7817,220,198,296,5432,27048,19771,10800
2020-07-01,5160,7793,3113,5915,2981,697,642,4377,1338,698,552,2094,7721,285,176,309,4935,26240,19850,10423
2020-08-01,4770,7047,2806,4958,2673,553,707,3872,1266,563,489,1890,6853,206,192,229,4494,22977,18003,9287
2020-09-01,3911,6444,2772,4754,2550,513,728,4142,1370,553,499,2146,6462,225,166,240,4751,21696,16752,8917
2020-10-01,4319,6182,2789,4560,2314,491,590,4254,1423,618,532,2366,6641,247,171,314,5065,22757,16399,8913
2020-11-01,4310,5969,2527,4602,2158,501,525,4175,1401,476,510,2691,5832,210,150,333,4803,22120,15491,8457
2020-12-01,4442,5723,2480,4774,2093,499,535,3943,1310,466,483,2638,6302,160,131,283,4336,22131,15993,7791
2021-01-01,4098,6181,2664,4736,2307,522,566,3634,1389,459,468,2565,6419,149,145,279,4338,22825,16850,8008
2021-02-01,4087,5786,2528,4363,2253,530,567,3575,1217,456,494,2234,5716,177,133,289,4322,21367,15258,7566
2021-03-01,4290,6376,3080,4726,2377,497,756,4177,1362,548,454,2481,6481,172,152,293,5168,23774,16739,8647
2021-04-01,3930,5889,2800,4292,2111,517,624,3896,1366,446,422,2291,6075,162,136,294,4793,22357,15831,7902
2021-05-01,4177,5724,2722,4239,1857,399,641,3763,1384,442,438,2083,6073,128,120,216,4663,22344,15791,7931
2021-06-01,3811,5617,2772,4057,1785,418,608,3903,1419,405,444,1861,5739,140,154,196,4277,20843,14981,7564
2021-07-01,3486,5199,2716,3873,1962,445,603,3624,1368,385,405,1616,5902,122,138,182,4043,20536,14741,6934
2021-08-01,3235,5097,2843,3847,1886,445,745,3567,1417,399,420,1530,5515,122,118,147,4032,19784,14608,6737
2021-09-01,3585,5044,2809,3670,1617,445,620,3421,1409,377,409,1701,5350,107,112,208,3899,18971,14389,6589
2021-10-01,3711,5272,2852,3571,1563,414,699,3205,1295,432,385,2087,5230,128,127,173,4172,19747,13805,6548
2021-11-01,3801,5579,2727,3477,1530,393,651,3374,1451,384,439,2201,5106,128,77,228,4027,20001,13454,6894
2021-12-01,3563,5018,2638,3229,1421,372,721,3172,1297,381,379,2094,4855,110,101,183,3538,18991,13062,6170
2022-01-01,3606,5258,2962,3374,1725,443,739,3101,1444,376,420,1950,5072,135,126,189,3841,19656,13951,6432
2022-02-01,3189,5087,2841,3103,1600,404,644,3201,1279,334,444,1676,4673,93,96,163,3910,19221,12796,5915
2022-03-01,3503,5671,3050,3117,1743,444,758,3450,1394,356,448,1948,5123,82,103,192,4482,20717,13585,6569
2022-04-01,3484,5199,2703,3174,1451,431,716,3235,1307,330,384,1743,4829,115,100,187,4175,19835,13480,6366
2022-05-01,3532,5491,2799,3362,1464,436,606,3323,1282,325,402,1765,4934,86,91,214,4134,19399,13316,6476
2022-06-01,3084,5303,2859,3189,1513,427,679,3132,1319,285,382,1562,4787,93,123,156,3887,18769,12639,5712
2022-07-01,2995,5224,2936,3093,1468,404,686,2958,1389,308,408,1385,4641,85,126,151,3664,19035,12757,5404
2022-08-01,2957,5491,3065,3109,1482,424,793,3103,1441,295,364,1434,4601,84,117,194,3785,18671,13076,5312
2022-09-01,2778,4996,2858,2829,1495,401,786,2990,1226,280,349,1552,4325,83,82,170,3540,17074,11893,5044
2022-10-01,2930,5043,2759,2762,1327,373,691,3025,1261,293,389,1895,4396,82,81,168,3912,18527,11668,5300
2022-11-01,2973,5183,2888,2785,1437,414,699,3098,1296,293,434,2010,4361,95,107,172,4004,18878,11772,5418
2022-12-01,2621,4667,2713,2361,1232,344,600,2547,1169,273,346,1728,4043,56,94,139,3215,15882,10322,4810
2023-01-01,2424,4721,2727,2543,1207,327,693,2505,1231,229,347,1445,3782,55,72,123,3259,15045,10094,4720
2023-02-01,2074,4230,2574,2066,1099,323,630,2220,1113,223,363,1245,3365,56,79,137,3337,13453,8816,4246
2023-03-01,2550,4881,3029,2269,1351,299,632,2532,1355,268,310,1259,4125,74,95,186,3815,15425,10478,5500
2023-04-01,1955,3824,2402,1920,1081,219,508,1736,1208,232,258,1184,3218,54,56,182,3090,12383,8263,4450
2023-05-01,1774,3809,2324,1964,989,254,418,1710,1208,185,241,1045,3104,78,54,151,2858,11766,7723,4160
2023-06-01,1805,3789,2124,1888,1123,225,517,1735,1115,165,202,884,2793,50,54,156,2654,11217,7479,4265
2023-07-01,1844,3860,2351,1730,1148,224,522,1468,1029,152,224,913,2822,62,68,160,2359,11084,7501,4046
2023-08-01,1666,3638,2279,1761,968,201,492,1367,1119,184,198,859,2584,55,49,135,2358,10212,6751,3813
2023-09-01,1489,3047,2012,1664,859,191,424,1276,1021,114,198,871,2193,37,61,124,2038,8616,5697,3326
2023-10-01,1719,3193,1874,1546,905,196,421,1241,945,188,191,973,2278,49,53,143,2066,9031,5489,3437
2023-11-01,1471,3117,1760,1402,868,157,411,1238,952,124,146,958,1919,54,44,128,1998,8482,5198,3283
2023-12-01,1439,2652,1564,1205,748,154,326,1027,838,98,105,878,1817,44,53,109,1608,7028,4793,2549
2024-01-01,1656,2775,1693,1454,898,166,352,1127,859,129,122,846,1996,39,35,108,1836,8024,5272,3011
2024-02-01,1610,2626,1447,1433,684,134,319,1074,798,131,151,748,1907,45,34,112,1652,7793,4726,3032
